Term,Stamm,Sprache,Zeitraum
frei,vrî,Middle High German,1050 CE - 1500 CE
frei,frî,Old High German,750 CE - 1050 CE
frei,*frī,Proto-West Germanic,before 500 CE (unconfirmed)
gratis,gratis,Latin,700 BCE - 500 CE
September,september,Latin,700 BCE - 500 CE
November,november,Latin,700 BCE - 500 CE
ab-,", ",Middle High German,1050 CE - 1500 CE
ab-,ab,Old High German,750 CE - 1050 CE
ab-,*ab,Proto-Germanic,500 BCE - 500 CE
a-,ἀ-,Ancient Greek,1500 BCE - 300 BCE
ab,", ",Middle High German,1050 CE - 1500 CE
ab,ab,Old High German,750 CE - 1050 CE
ab,*ab,Proto-West Germanic,before 500 CE (unconfirmed)
ab,*ab,Proto-Germanic,500 BCE - 500 CE
abdominal,abdōminālis,New Latin,not available
aboral,ab-,Latin,700 BCE - 500 CE
nu,nu,Middle High German,1050 CE - 1500 CE
nu,nu,German Low German,not available
nu,nû,Middle Low German,1200 CE - 1600 CE
Haus,hūs,Middle High German,1050 CE - 1500 CE
Haus,hūs,Old High German,750 CE - 1050 CE
Haus,*hūs,Proto-West Germanic,before 500 CE (unconfirmed)
Haus,*hūsą,Proto-Germanic,500 BCE - 500 CE
dat,dat,Central Franconian,not available
dat,dat,Middle High German,1050 CE - 1500 CE
dat,that,Old High German,750 CE - 1050 CE
dat,dat,German Low German,not available
dat,dat,Middle Low German,1200 CE - 1600 CE
dat,that,Old Saxon,not available
in,in,Old High German,750 CE - 1050 CE
in,*in,Proto-Germanic,500 BCE - 500 CE
orange,orange,French,1600 CE - present
Japan,Japan,Dutch,1500 CE - present
Japan,Japão,Portuguese,1516 CE - present
Japan,Jepang,Malay,not available
pseudo-,ψευδής,Ancient Greek,1500 BCE - 300 BCE
Dezember,december,Latin,700 BCE - 500 CE
zwei,zwei,Middle High German,1050 CE - 1500 CE
zwei,zwei,Old High German,750 CE - 1050 CE
dick,dicke,Middle High German,1050 CE - 1500 CE
dick,dicki,Old High German,750 CE - 1050 CE
dick,*þikkwī,Proto-West Germanic,before 500 CE (unconfirmed)
man,man,Middle High German,1050 CE - 1500 CE
man,man,Old High German,750 CE - 1050 CE
man,*mann,Proto-West Germanic,before 500 CE (unconfirmed)
man,*mann-,Proto-Germanic,500 BCE - 500 CE
man,man,Middle Low German,1200 CE - 1600 CE
man,newan,Old Saxon,not available
feist,veizet,Middle High German,1050 CE - 1500 CE
feist,feizzit,Old High German,750 CE - 1050 CE
feist,*faitid,Proto-West Germanic,before 500 CE (unconfirmed)
hell,hel,Middle High German,1050 CE - 1500 CE
hell,hel,Old High German,750 CE - 1050 CE
hell,*halliz,Proto-Germanic,500 BCE - 500 CE
hell,*hellaną,Proto-Germanic,500 BCE - 500 CE
hell,*kelh₁-,Proto-Indo-European,4500 BCE - 2500 BCE
UdSSR,Union der Sozialistischen Sowjetrepubliken,German,750 CE - present
Israel,Israel,Latin,700 BCE - 500 CE
Israel,Ἰσραήλ,Ancient Greek,1500 BCE - 300 BCE
urban,urbanus,Latin,700 BCE - 500 CE
Aborigine,Aborigine,English,1550 CE - present
Uhr,ūre,Middle High German,1050 CE - 1500 CE
